M,R,D,kT_comb_eV
1.2,10.0,5.6,148.9207262499015
1.2,12.0,5.6,136.42597526091225
1.2,14.0,5.6,127.7975022659726
1.2,16.0,5.6,121.29402313983209
1.4,10.0,5.6,153.9238461223319
1.4,12.0,5.6,139.55272348360532
1.4,14.0,5.6,130.01869480137472
1.4,16.0,5.6,123.03735171825868
1.6,10.0,5.6,159.6481978284833
1.6,12.0,5.6,143.18113671548542
1.6,14.0,5.6,132.56389085934106
1.6,16.0,5.6,124.95760319309446
1.8,10.0,5.6,166.39337865510205
1.8,12.0,5.6,147.49508156844266
1.8,14.0,5.6,135.3964735576784
1.8,16.0,5.6,127.04430242828332
2.0,10.0,5.6,174.50024288171326
2.0,12.0,5.6,152.5116002039329
2.0,14.0,5.6,138.62092454326373
2.0,16.0,5.6,129.26851825364062
2.2,10.0,5.6,184.44464609477004
2.2,12.0,5.6,158.14228243858037
2.2,14.0,5.6,142.2513024879773
2.2,16.0,5.6,131.8710070868572
1.2,10.0,7.3,163.74866012108868
1.2,12.0,7.3,149.7071871980191
1.2,14.0,7.3,139.7677134316117
1.2,16.0,7.3,132.446702851123
1.4,10.0,7.3,168.99258449539298
1.4,12.0,7.3,153.31894995621803
1.4,14.0,7.3,142.24166468693988
1.4,16.0,7.3,134.30018909043807
1.6,10.0,7.3,175.15828688391036
1.6,12.0,7.3,157.3507529552787
1.6,14.0,7.3,145.08663691144326
1.6,16.0,7.3,136.365949568347
1.8,10.0,7.3,182.40685321796977
1.8,12.0,7.3,161.92234215443938
1.8,14.0,7.3,148.33946310719293
1.8,16.0,7.3,138.68510636140533
2.0,10.0,7.3,191.11805279100574
2.0,12.0,7.3,167.15118278441616
2.0,14.0,7.3,152.0525833411795
2.0,16.0,7.3,141.25660350522975
2.2,10.0,7.3,201.6877155903813
2.2,12.0,7.3,173.2084332211216
2.2,14.0,7.3,156.07771921400163
2.2,16.0,7.3,144.12918532446486
1.2,10.0,8.8,175.04133033252617
1.2,12.0,8.8,160.0586491160505
1.2,14.0,8.8,149.22284469724963
1.2,16.0,8.8,141.12608447120382
1.4,10.0,8.8,180.58444224037092
1.4,12.0,8.8,163.8023306136802
1.4,14.0,8.8,152.04889848859378
1.4,16.0,8.8,143.11729880977165
1.6,10.0,8.8,187.0719803860098
1.6,12.0,8.8,168.0656541836652
1.6,14.0,8.8,155.08470689671822
1.6,16.0,8.8,145.37806604261198
1.8,10.0,8.8,194.68650025481446
1.8,12.0,8.8,172.89403556705545
1.8,14.0,8.8,158.47690156387003
1.8,16.0,8.8,147.9572107537701
2.0,10.0,8.8,203.76847066985457
2.0,12.0,8.8,178.40433425986384
2.0,14.0,8.8,162.27542593593688
2.0,16.0,8.8,150.84114893597032
2.2,10.0,8.8,214.9846116792706
2.2,12.0,8.8,184.7797889551012
2.2,14.0,8.8,166.53576382884071
2.2,16.0,8.8,153.93921901893887
