M,R,D,kT_g4_eV
1.2,10.0,5.6,139.96610879785575
1.2,12.0,5.6,128.6894334550907
1.2,14.0,5.6,120.67377224691971
1.2,16.0,5.6,114.53623128643697
1.4,10.0,5.6,144.58821257645533
1.4,12.0,5.6,131.64152021202517
1.4,14.0,5.6,122.85218609263542
1.4,16.0,5.6,116.20180895818828
1.6,10.0,5.6,150.0558353723113
1.6,12.0,5.6,135.0401429255012
1.6,14.0,5.6,125.29763938461062
1.6,16.0,5.6,118.05187490027143
1.8,10.0,5.6,156.53912031509495
1.8,12.0,5.6,139.002588882181
1.8,14.0,5.6,128.01559789926145
1.8,16.0,5.6,120.12762446254816
2.0,10.0,5.6,164.3512036074978
2.0,12.0,5.6,143.64909324262837
2.0,14.0,5.6,131.07893041225825
2.0,16.0,5.6,122.40887003082877
2.2,10.0,5.6,173.95739236592007
2.2,12.0,5.6,149.07433782893995
2.2,14.0,5.6,134.50638134773016
2.2,16.0,5.6,124.9145100650463
1.2,10.0,7.3,153.52987238632457
1.2,12.0,7.3,140.61863858066266
1.2,14.0,7.3,131.6597084165163
1.2,16.0,7.3,124.9173863610484
1.4,10.0,7.3,158.51227129076437
1.4,12.0,7.3,143.94046088784333
1.4,14.0,7.3,133.98706962039205
1.4,16.0,7.3,126.70183038980592
1.6,10.0,7.3,164.38526607363346
1.6,12.0,7.3,147.77565362065286
1.6,14.0,7.3,136.59439815110605
1.6,16.0,7.3,128.68054421098495
1.8,10.0,7.3,171.32979251243992
1.8,12.0,7.3,152.1328106549812
1.8,14.0,7.3,139.61847463821962
1.8,16.0,7.3,130.891935278874
2.0,10.0,7.3,179.68544061967899
2.0,12.0,7.3,157.14222168695733
2.0,14.0,7.3,143.04506813880562
2.0,16.0,7.3,133.31925832069032
2.2,10.0,7.3,189.99531364501476
2.2,12.0,7.3,162.95695051920285
2.2,14.0,7.3,146.89698728964316
2.2,16.0,7.3,135.98558970527822
1.2,10.0,8.8,163.98830951445242
1.2,12.0,8.8,150.08693506430401
1.2,14.0,8.8,140.20157386673526
1.2,16.0,8.8,132.86876213344055
1.4,10.0,8.8,169.25164131295534
1.4,12.0,8.8,153.61827672756976
1.4,14.0,8.8,142.75551296852078
1.4,16.0,8.8,134.7388663250706
1.6,10.0,8.8,175.42960638247598
1.6,12.0,8.8,157.6677568524588
1.6,14.0,8.8,145.6239774857625
1.6,16.0,8.8,136.81789014737274
1.8,10.0,8.8,182.7144474673718
1.8,12.0,8.8,162.26426575646002
1.8,14.0,8.8,148.84110615209278
1.8,16.0,8.8,139.2204037569103
2.0,10.0,8.8,191.46213125315097
2.0,12.0,8.8,167.52625841697298
2.0,14.0,8.8,152.45893754512412
2.0,16.0,8.8,141.87075793680668
2.2,10.0,8.8,202.2613440894548
2.2,12.0,8.8,173.63724596339853
2.2,14.0,8.8,156.52109912025287
2.2,16.0,8.8,144.8014427158964
